part_number,part_name,qty,threshold_qty,dependencies,verified_date,alt_part_nums,search_parms
1691T142,"""Impact-Resistant Compact Tie Rod Air Cylinder Round Face Double Acting 1-1/16"""" Bore 1/4"""" Stroke""",2,0,,1/13/2022 21:04,,"1691T142 ""Impact-Resistant Compact Tie Rod Air Cylinder Round Face Double Acting 1-1/16"""" Bore 1/4"""" Stroke"""
217-4347,775pro,2,0,,,,217-4347 775pro
217-6789,VersaPlanetary Coupler(Flacon Motor),16,0,,,,217-6789 VersaPlanetary Coupler(Flacon Motor)
214-6959,,9,0,,,,214-6959
52-040,1/8 x 1/2 x 1/4 x 2 2Fl - LMT-ONSRUD,3,0,,,,52-040 1/8 x 1/2 x 1/4 x 2 2Fl - LMT-ONSRUD
52-080,RT-52-000 0.250 x 0.750 x 0.250 x 2.500 -2,3,0,,,,52-080 RT-52-000 0.250 x 0.750 x 0.250 x 2.500 -2
52-120,RT-52-000 0.375 x 0.875 x 0.375 x 2.500 -2,3,0,,1/12/2022 18:42,,52-120 RT-52-000 0.375 x 0.875 x 0.375 x 2.500 -2
REV-11-1850,REV Power Distrobution Hub,2,0,,1/12/2022 18:42,,REV-11-1850 REV Power Distrobution Hub
REV-11-1863,REV 40A ATO Breaker,24,0,,1/12/2022 19:18,,REV-11-1863 REV 40A ATO Breaker
REV-11-1862,REV 30A ATO Breaker,16,0,,1/12/2022 19:18,,REV-11-1862 REV 30A ATO Breaker
REV-11-1861,REV 20A ATO Breaker,8,0,,1/12/2022 19:18,,REV-11-1861 REV 20A ATO Breaker
REV-11-1860,REV 10A ATO Breaker,4,0,,1/12/2022 19:18,,REV-11-1860 REV 10A ATO Breaker
REV-11-1852,REV Pneumatic Hub,2,0,,1/12/2022 20:58,,REV-11-1852 REV Pneumatic Hub
am-2934,Reflective Tape Material 3M 2 in. wide x 20 ft. adhesive backed,4,0,,,,am-2934 Reflective Tape Material 3M 2 in. wide x 20 ft. adhesive backed
am-2434,Ultrasonic proximity sensor EZ MB1013 MaxBotix,4,0,,1/10/2022 18:54,,am-2434 Ultrasonic proximity sensor EZ MB1013 MaxBotix
217-6515-rev2,Falcon 500 Rev 2,11,0,,1/10/2022 18:54,,217-6515-rev2 Falcon 500 Rev 2
REV-11-1856,REV Radio Power Module,2,0,,1/12/2022 19:06,,REV-11-1856 REV Radio Power Module
49600-XRYL,2022 Blue HP Apron,1,0,,1/10/2022 19:24,,49600-XRYL 2022 Blue HP Apron
49600-XRD,2022 Red HP Apron,1,0,,1/10/2022 19:24,,49600-XRD 2022 Red HP Apron
REV-11-1210,REV PEO Injector Cable,2,0,,1/12/2022 19:19,,REV-11-1210 REV PEO Injector Cable
REV-31-1557,REC Color Sensor V3,2,0,,1/12/2022 20:39,,REV-31-1557 REC Color Sensor V3
REV-21-2151,REV SPARK MAX Mounting Bracket,2,0,,1/12/2022 21:18,,REV-21-2151 REV SPARK MAX Mounting Bracket
REV-21-2031,"REV 2"" Compliant Wheel",2,0,,1/10/2022 19:59,,"REV-21-2031 REV 2"" Compliant Wheel"
